Name,Picks,Description
Alchemy,2,"Mastery of the ancient art of Alchemy allows the Wizard to change Gold into Mana and Mana into Gold in a 1 to 1 ratio, instead of losing 1/2 in the exchange process. It also gives all units built in cities magic weapons."
Archmage,1,"Focusing on pure spell power, increases the casting skill of the Wizard by +10, and makes it twice as hard to dispel their spells. There is a 50% bonus to all Mana spent on increasing the skill.
The Wizard must have already selected at least 4 Spellbooks of any single Realm."
Artificer,1,Master of the magical forge. An Artificer reduces the cost of making magical items by 50%. Artificers also begin the game with the Enchant Item and Create Artefact spells.
Channeler,2,"The Channeler masters accuracy and ignores spellcasting range so they do not spend any extra Mana when casting any spell in combat. In addition, a Channeler only pays 50% of the normal spell upkeep."
Chaos Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Chaos spells by 15%, makes it twice as hard to dispel Chaos spells, and doubles the magic Power obtained from Chaos nodes. The Wizard must have already selected at least 4 Chaos Spellbooks."
Charismatic,1,"Possesses a magnificent presence that dramatically improves their charm and diplomatic dealings. The Charismatic Wizard pays half for hiring heroes, mercenaries, and purchasing magical items. All diplomatic penalties from negative actions are halved and good effects are doubled."
Conjurer,1,"Master of summoning, the Conjurer reduces the spell Research time and casting cost of all summoning spells by 25% and also reduces the upkeep costs of fantastic creatures by 25%."
Divine Power,2,"Divine influence increases the Power gain and the pacifying effects, lowering unrest, that the Wizard obtains from religious buildings by 50%. The Wizard must have already selected at least 4 Life Spellbooks."
Famous,2,"The Wizard’s renown carries over even into these new worlds. They begin the game with extra 25 Fame. Being famous doubles the chance of the Wizard hiring heroes, recruiting mercenaries, and buying magical items."
Infernal Power,2,"Unholy influence dominates the divine and increases the Power gain and the pacifying effects, lowering unrest, that the Wizard obtains from all their religious buildings by 50%. The Wizard must have already selected at least 4 Death Spellbooks."
Mana Focusing,1,Mastery over the energy that fuels all magic increases the Mana obtained from Power by 25%. The Wizard must have already selected at least 4 Spellbooks of any single Realm. Mana Focusing costs 1 pick.
Myrran,2,"The Wizard hails, or has been accepted as a dweller of Myrror, and so they begin the game there, instead of Arcanus. The Wizard may also rule over a Myrran race: beastmen, dark elves, draconian, dwarves or trolls. The Wizard’s fortress also generates 5 additional Mana."
Nature Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Nature spells by 15%, makes it twice as hard to dispel Nature spells, and doubles the magic power obtained from Nature nodes.
The Wizard must have already selected at least 4 Nature Spellbooks."
Node Mastery,1,"Mastery over the places of power doubles the magical Power obtained from all magic nodes. The Wizard’s spells are also immune to the dispelling power of nodes.
The Wizard must have at least 1 Spellbook each, from Nature, Chaos and Sorcery Realms."
Runemaster,1,"Enchanted runes carved by the Wizard allow for the power of all dispel magic type spells to be doubled. In addition, this trait reduces the spell Research time and casting cost of Arcane spells by 25%.
The Wizard requires at least 2 Spellbooks in each of 3 different Realms."
Sorcery Mastery,1,"Mastery over the realm reduces the spell Research time and casting cost of Sorcery spells by 15%, makes it twice as hard to dispel Sorcery spells, and doubles the magic Power obtained from Sorcery nodes.
The Wizard must have already selected at least 4 Sorcery Spellbooks."
Warlord,2,"Mastery of the magic of war increases the level of all units (apart from fantastic units) under the Wizard’s control by one level. In addition, the Warlord allows for the units to achieve an additional elite status which is otherwise unattainable."
Fantastic Warlord,1,"Mastery of the fantastic troops allows the Wizard to increase Damage, Ranged Damage, Armor and Resistance of all summoned creatures under their control by +1."
Stonemason,1,"Mastery of the art of stonemasonry allows the Wizard’s capitol and all newly built settlements to begin with a stone wall. In addition, the capital gains +10 production, and all units of the Wizard’s capitol race have the skill engineer, allowing them to build roads."
Lifebringer,1,"Mastery of Life allows the Wizard to begin the game with the powerful Resurrect and Heal spells. In addition, all starting race units under the Wizard’s control gain the healing skill. The Wizard must have already selected at least 4 Life Spellbooks."
I Need a Hero!,1,"No more holding out for a hero til the end of the night. If you need a hero now, this is the trait for you. Begin the game with the Summon Hero and Summon Champion spell. Additionally, the trait allows for one extra choice when heroes are summoned and/or recruited."
Nature Summoner,1,"The power of Nature allows the Wizard to begin the game with a unit of War Bears. In addition, the Wizard begins the game with uncommon and common Nature’s summoning spells and all the Nature summons are 50% cheaper to upkeep. You cannot take the Conjurer or Channeler traits at the same time. The Wizard must have already selected at least 4 Nature Spellbooks."
Techmaster,2,Allows the Wizard to master the new power of Techmagic. Begin with a Scouting Probe and Power Seeker spells and gain a +5% bonus to Research. The Wizard must have at least 3 Spellbooks in two different Realms.
Demonologist,1,The Demonologist begins the game with the unit of a Lesser Shadow Demon at their command. They also gain a unique summon Shadow Demon spell and the Possession spell. The Wizard must have already selected at least 1 Death Spellbook and 1 Chaos Spellbook.
Myrran Refugee,2,"Allows the Wizard to begin the game with a Myrran race on Arcanus which gives a significant advantage, because Myrran races are typically stronger."
Veteran Warlord,1,"Allows the Wizard becomes a Veteran Warlord, able to train their armies with greater efficiency. The veteran thus gives extra +1XP each turn to the non-fantastic units under their command and you begin the game with a swordsman unit from the starting race. The Wizard must have the Warlord Trait."
Might Makes Right!,5,"The Wizard believes in the superiority of physical prowess over the smarts of magic. All non-fantastic units (including non-fantastic heroes) gain +3 to Resistance. They also gain Combat Regeneration, a new skill that allows units to heal in combat +2 HP per turn (the skill stacks with Regeneration). The Wizard must have no more than 2 spellbooks in any school."
Hive Master,2,"The hive master connects to the klackon collective to increase efficiency. The Wizard gains +5 Casting Skill for every klackon unit in battle. In addition, the klackons under the Wizard’s rule are no longer as disliked by other races and the klackon hero Ph’ym the Philomath joins at the start of the game. The trait only works with the klackon race. Cannot be taken with other race-exclusive traits."
Sea Master,2,"The Sea Master provides all units that already have the ability to swim (including non-corporeal and fantastic units) under the command of the Wizard with +1 to movement points, on the overland map. Additionally, ships built or gained under the watchful eye of the ship master begin their water journey with boosted level (+3 levels) and are cheaper to build -20%."
Power of the People,2,Your loyal subjects are exceptionally attuned to magic. With the Power of the People the Wizard’s capitol race gives +1 Power per population.
Pirate,3,"The Pirate Wizard thrives on conquest and raids. When they choose to raze an enemy city, they gain extra Gold, and an additional reward based on the size of the city. Additionally, the Wizard gains a unit of the Leashed from the raid. They also gain Fame for razing the city but will lose Fame for keeping one. BEWARE, the Pirate trait also triggers a Pirate Rebellion event in your cities when you own more than 6 towns!"
Tactician,2,"As a supreme Tactician, the Wizard is able to plan their battles well and thus add +1 to movement points in combat to all units under their command. In addition, the Wizard gives an advantage to their troops in battle and allows them to always begin the combat first, no matter if they are the defender or the attacker (The Wizard tower defence is exempt from this, and will still shoot first)."
Sea Hunter,1,"Sea Hunter Wizards give great bonuses to their troops when engaged in water based combat. All units under the command of the Wizard in a battle, gain +2 to all stats apart from HP and the ability to Swim."
Orcmancer,2,"The Orcmancer is a master of necromancy but attuned only to the life force of the orcs. For every figure of an orc in the army that dies the Orcmancer receives +5 caster skill in combat (The bonus can go over the max). Every orc under their command also receives the Death Immunity and Lesser Life Steal skills.
The Orcmancer can begin the game with Orcs only.
Cannot be taken with other race-exclusive traits. The Wizard must have already selected at least 1 Death Spellbook."
Necromancer,1,"The Necromancer seeks to cross the veil of death to their advantage. The Wizard begins every battle in Darkness and a new, Undead Hero spell. With the spell they can call a fallen hero back from the dead, as an undead servant (The hero returns, but changed by the black channels spell). The Wizard must have already selected at least 3 Death Spellbooks."
Death Eater,2,"The Death Eater can recycle their fallen forces in order to feed their Death realm armies. After a winning battle, all units belonging to Death realm regain 50% health (this does not resurrect fallen units). The Wizard must have already selected at least 3 Death Spellbooks."