Name,Description,Spell Books,Traits,Quote
Ariel,"Ariel earned the title of High Priestess and mastered the art of Life magic so that she may aid those in need in the name of her gods. Ariel is also a gifted diplomat thanks to her Charismatic nature. With a mere smile and eloquent speech, she can sweeten any diplomatic deal. Traders and mercenaries are equally swayed by Ariel’s charm and so, offer their services to her advantage",Life (10),Charismatic,May the gods guide my path and grant me a swift victory.
Freya,"Freya hails from the cold northern lands, where her command of Nature magic elevated her to great power and even worship. Her elven heritage and beauty earned her the nickname of the snow nymph.
Attuned to the land from which she hails, Freya’s singular focus allowed her to achieve Nature Mastery, a rare gift that amplifies her command of Nature magic.",Nature (10),Nature Mastery,"By the laws of nature and by my blood rights, only the strongest survive."
Tlaloc,"Tlaloc is the master of rain and storm, some call him Aztec priest, some believe him to be the Rain God incarnate. He is known to accept blood sacrifice and practises blood magic as the source of the most potent power. Tlaloc commands Nature and Death magic but he is also a great Warlord who understands that his common troops may have just as much impact as the magic he wields.","Death (5)
Nature (4)",Warlord,"The skies obey me, blood runs as I command it - now all else must follow."
Tauron,"Tauron is a demonic being wearing human-like skin. His mastery lies with Chaos magic as he seeks to bring disorder to all the worlds. Through his singular fascination with disorder and change, Tauron also possesses the special ability of Chaos Mastery, which increases his command of Chaos magic.",Chaos (10),Chaos Master,"This mortal coil is but a splendid farce, so let us play!"
Sss'ra,"Sss’ra is a draconian warlock who specialises in both chaos and life magic. Unlike most of the other wizards, Sss’ra and his draconian kin are native to Myrror, but in order to become more powerful, the warlock has spent decades travelling and gaining power. As Myrran, Sss’ra is able to inhabit the strange other-world and command one of the races who dwell there.","Chaos (5)
Life (5)",Myrran,"Now, all shall witness the might of the old, the power of the dragon blood!"
Sharee,"Sharee dabbles in the darkest of magical arts, combining Chaos and Death magic. She is an accomplished voodoo priestess and despite her deceptively young visage, she is said to have cheated death many times over. Sharee is a powerful Conjurer, and thus she can call upon the services of many mystical creatures with ease.","Chaos (5)
Death (5)",Conjurer,"By the spirit of damballah, I am the true magickian, others are mere dolls."
Raven,"Raven is a native shaman whose spirit’s journey has taken him to many strange worlds over the years. He is the master of both Nature and Sorcery magic. It is said that as a shaman, Raven’s spirit has had many bodies and lives. As such, he does not possess any particular special ability, focusing instead solely on the mastery of pure magic.","Nature (5)
Sorcery (6)",No Trait,"My spirit guide led me here, now it istime I lead all who are lost."
Rjak,"Rjak is a warlock who mastered Death magic. Their true nature or origin remains a dark mystery. Some say there is no physical body under that strange cloak. Others whisper of their true connection to death itself. Rjak possesses the fearsome ability of Infernal Power, which amplifies their command over places of worship under their control.",Death (9),Infernal Power,"Accept my coming, I am inevitable..."
Lo Pan,"Lo Pan is a Wushen master who specialises in Chaos and Sorcery magic. Through ancient techniques of his forefathers, Lo Pan seeks knowledge and understanding of the inner self. As a Channeler, Lo Pan has developed the ability to channel magic power directly from his location in the enchanted fortress, to his troops on the battlefield. This ability allows him to bypass paying higher mana rates for casting combat spells outside of his fortress.","Chaos (5)
Sorcery (5)",Channeler,The temptation to quit will be greatest when you are about to succeed.
Merlin,"Merlin is the quintessential great wizard, who specialises in Nature and Life magic. His age and origin are shrouded in legend and fairy tale alike. Merlin is known for his infinite wisdom and the pursuit of knowledge and understanding of true magic. As a Sage Master, Merlin learns and researches spells with extra haste.","Nature (5)
Life (5)",Sage Master,I will suffer no fools. Knowledge shall win the day.
Oberic,"Oberic is an elementalist wizard, who specialises in Chaos and Nature magic. Oberic values his independence and the pursuit of ever greater control and unity with the elements. He dislikes governance, and views it as an unfortunate necessity on his path to power. Oberic has the special
ability of Mana Focusing, which significantly increases the amount of magic power he can obtain for his mana reserves.","Nature (5)
Chaos (5)",Mana Focusing,"As the elements obey my call, so shall all who stand in the way of my ascension."
Kali,"Kali is a mystical witch who specialises in Death and Sorcery magic. Her true age and potential remain forever shrouded in mystery and obscured by rumours and whispers. Some say her name is a mere homage to the goddess, some fear there may be more to it. To aid her power, Kali learned the special ability of the Artificer, which allows her to forge magic objects with greater efficiency.","Death (5)
Sorcery (5)",Artificer,"Fear me, love me, either way you shall be mine."
Jafar,"Jafar is a mysterious nomad wizard, renowned for his intricate illusions and specialising in Sorcery magic. He is also a master Alchemist, which allows him to interconvert gold and magic power at no cost. Jafar’s travel-worn visage is thus likely a mere mirage, one of many he chooses to show.
This of course begs the question - what is his true face and design?",Sorcery (9),Alchemist,"Illusion is the first and last of all pleasures, let us enjoy them now."
Horus,"Horus was born with natural talents for magic and soon mastered the arts of Sorcery and Life magic. Despite his clear power, he seems unsure of his own potential and thus can be unpredictable in his dealings with other wizards. Horus is also an Archmage, which makes him particularly effective at casting spells, as well as making his spells tougher to dispel.","Life (5)
Sorcery (5)",Archmage,"I suppose now that I am here, I will become the strongest. Huh..."
Raa'ss,"Raa’ss is a powerful draconian Wizard filled with rage and turmoil that can be channelled into conquest with deathly precision. He is master of Chaos and Death magic and a Fantastic Warlord whose summons are of great power. He refuses to parade in humanoid clothes and he abhors his supposed twin, Sss’ra. It is said that Raa’ss’ true origin is steeped in malice, that he is in fact a dark reflection of Sss’ra come to life...","Chaos (4)
Death (4)","Myrran
Fantastic Warlord","Call me a mere reflection once more, I dare you!"
Bianka,"Bianka rose to the highest ranks of dwarven nobility through her steadfast, unyielding determination and unchallenged mastery of rune magic. As Stonemason, Bianka also shows her almost unnatural affinity to stone. Native to Myrror, the great Wizard seeks to prove her birthright as the Master by wielding three separate magic schools, Sorcery, Chaos and Nature.","Sorcery (3)
Nature (2)
Chaos (2)","Myrran
Runemaster
Stonemason","My power is forged with turmoil, infused with runic force and set in eternal stone. None can crumble it!"
Tlachtga,"Tlachtga mastered the arts of Nature magic as a mere babe and grew to become one of the greatest druids of her dark lands. Tlachtga’s mastery of the less benign face of the circle of life has drawn her to Myrror where nature’s malice can be tamed and controlled. She is also a powerful Nature summoner, making Nature summons 50% cheaper and beginning her journey with a unit of War Bears.",Nature (8),"Myrran
Nature Summoner","Nature's darker side feeds my power, so stand aside or be devoured by it!"
Corax,"Corax Whitefeather used to walk the path of darkness and crime in his youth, but he claims to have been inspired by his enlightened father to change his fate. He thus literally changed his feathers and claimed Life as his domain. Corax seeks to bring his wisdom to darkened places, by force if they refuse. He commands Life magic and as the Lifebringer, he can resurrect his fallen and give them healing skills.",Life (8),"Myrran
Lifebringer","Seek the light with me, dark creature, for it will bring you peace and Power."
Morique the Possessed,"Morique the demonsouled, or the possessed, is a dark elven sorceress of great, but dangerous power. As the moniker suggests, she shares her body with a powerful demon. Whether the union is one of mutual understanding, or parasitic infestation, remains unclear. Morique’s ambition does not end with taming her demon, with Death and Chaos at her fingertips she seeks to prove her ultimate dominance over all other Wizards, especially her demon rival, Tauron.","Chaos (2)
Death (5)","Demonologist
Myrran Refugee
Conjurer",I have mastered the infernal and We are now more powerful than any solitary Wizard can hope to be!
Nineseven,"It would be hard to tell now, with all the mechanical replacements, and techmagic trinkets obscuring most of the organic origin, but Nineseven was once an elven archmage and scholar. Throughout her eternal life, she became fascinated with the metalworks of the dwarves and the
infinite possibilities of alchemy that can transmute. Some say she is the progenitor of techmagic, others claim she merely mastered it.","Chaos (3)
Sorcery (4)","Techmaster
Alchemy","The flesh binds me no more, magic runs through my veins now. I am the Tech-Master and I shall be more!"
Grendel Strongarm,"Grendel may be one of the greatest Wizards, certainly the best of his kind, but his firm belief is that might makes right. He often claims that anything can be beaten into submission, even magic itself. Grendel does of course use the very basics of the Arcane arts and does dabble in Nature when needed, but he relies mostly on the physical power of his troops.",Nature (1),"Warlord
Veteran Warlord
Myrran Refugee
Might Makes Right!",I'll make your heads sparkle without magic and then you'll see who's Master!
Belit,"Once a mighty ruler of the orcs alongside Bladud, Belit did not approve of her kin becoming more docile in the name of civilised conduct. Instead, she sought to return them to a time of blood and conquest. Alas, the betrayal of her royal bloodline or perhaps a hex from a scorned love, brought about the great curse that turned Belit and her pirate kin into scourgers. But for Belit, being the damned was no obstacle. She has embraced her new state and will challenge anyone who thinks it a weakness. The pirate queen favours razing cities and gives great boons for doing so. She has mastered Death and Sorcery and seeks to show all the other Wizards the power of her cursed destiny!","Sorcery (3)
Death (3)","Sea Master
Pirate","They call me the Cursebringer, the doomed, the traitor. I am all of those, I am the queen of the seas and shall be the Master of all soon enough!"
Sir Horatio,"Sir Horatio is a renowned naval commander who rose far above his station and far above the expectations of his rather less civilised peoples. Happy to be a soldier, Horatio soon realised that the games other Wizards play leave him at a disadvantage and threaten his duty and his crew. He then claimed the mastery of higher magic, which allowed him to truly tame the seas and become a Wizard himself. As he rose to the rank of the Sea Tamer, he now prides himself as a master Tactician and a Sea Master able to ambush his enemies and command his powerful sea fleets. Horatio is determined to prove that his soldier’s discipline and training will raise him to the rank of Master.","Life (4)
Chaos (3)","Tactician
Sea Master","For honour and glory, I shall take charge and lead all to a great victory!"
Queen Xar'xla,"As a supreme hive queen, Xarl’xla was destined to rule over millions of klackons, but her destiny was even greater. Upon discovering her talent in magic, and observing the power held by those who wield it, the queen set her sights on becoming a supreme Wizard. With the power of the master hive fuelling her endeavour, Xar’xla soon joined the great contest and set her sights on having other arcane users join as her royal hive. Futile efforts to resist the queen are seen by her as a mere nuisance.","Sorcery (2)
Life (3)","Hive Master
Power of the People
Warlord","We are one and so shall you be, once we are victorious."
Gayn,"As a proud lizardman, Gayn has always seen himself as guardian of the seas. In his youth he served as a mercenary on many ships, and together with Horatio, fought many sea battles. But a day came when he faced the true threat of the Wizards and he knew then that he needed to rise above to truly defend the waters he loved. With Death and Nature now on his side, Gayn protects the waters and bends the seas to his will. He is known to enjoy hunting pirates and dangerous sea creatures, thus earning him the title Sea Hunter. Years of experience as a sailor now benefit those under his command with greater water speed as well as advantages in sea
combat.","Nature (4)
Death (4)","Sea Master
Sea Hunter","So many seek to claim my seas as theirs. It is time I show them my power, it is time I become master of all."
Bladud the Orcmancer,"The orcs are not known across Arcanus for their brilliance in any area, and it is for this reason that Bladud decided to rise up and prove once and for all that the orc race is mighty! Through the dark arts of necromancy, the Wizard has gained great power, and decided to use all of it solely for the purpose of uplifting his kind from obscurity. Orcs under Bladud’s leadership are sure to become a force to be reckoned with, but he is also a capable leader for all.",Death (9),Orcmancer,"Long has my kin been called weak, but now the orcs shall rise through Death and conquer all!"